PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Josh Green,CHA,17,17,436,49,7,15,46.7,3,4,75,17,34.7,25,51,4,8.2,5,10.2,2,4.1
Josh Okogie,CHA,11,11,103,19,5,8,62.5,0,0,0,10,52.6,8,42.1,1,5.3,3,15.8,0,0
Jusuf Nurkić,CHA,18,18,407,10,2,4,50,2,2,100,6,60,0,0,0,0,2,20,1,10
KJ Simpson,CHA,3,3,64,10,2,7,28.6,0,0,0,4,40,3,30,1,10,0,0,0,0
LaMelo Ball,CHA,16,16,541,243,62,121,51.2,31,34,91.2,161,66.3,88,36.2,27,11.1,8,3.3,17,7
Marcus Garrett,CHA,1,1,19,4,0,3,0,0,0,0,0,0,0,0,0,0,1,25,0,0
Mark Williams,CHA,9,9,272,6,2,5,40,0,0,0,4,66.7,1,16.7,0,0,0,0,0,0
Miles Bridges,CHA,16,16,524,174,44,97,45.4,22,24,91.7,111,63.8,45,25.9,10,5.7,16,9.2,12,6.9
Moussa Diabaté,CHA,15,15,285,6,1,4,25,0,0,0,2,33.3,1,16.7,0,0,1,16.7,0,0
Nick Smith Jr.,CHA,14,14,310,69,17,34,50,2,2,100,37,53.6,28,40.6,9,13,5,7.2,1,1.4
Seth Curry,CHA,17,17,262,31,7,12,58.3,3,4,75,17,54.8,9,29,2,6.5,7,22.6,2,6.5
Taj Gibson,CHA,10,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tidjane Salaün,CHA,12,12,190,16,4,8,50,0,0,0,8,50,7,43.8,2,12.5,1,6.3,0,0
Tre Mann,CHA,6,6,148,71,21,39,53.8,1,2,50,43,60.6,27,38,4,5.6,3,4.2,1,1.4
Wendell Moore Jr.,CHA,11,11,128,13,3,8,37.5,2,2,100,8,61.5,3,23.1,0,0,1,7.7,1,7.7
Adama Sanogo,CHI,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayo Dosunmu,CHI,17,17,538,160,34,62,54.8,4,4,100,74,46.3,83,51.9,24,15,9,5.6,2,1.3
Chris Duarte,CHI,4,4,14,2,0,0,0,0,0,0,0,0,1,50,0,0,1,50,0,0
Coby White,CHI,35,35,1189,475,105,184,57.1,62,67,92.5,283,59.6,220,46.3,55,11.6,26,5.5,35,7.4
Dalen Terry,CHI,33,33,486,101,17,36,47.2,14,18,77.8,50,49.5,46,45.5,7,6.9,4,4,9,8.9
E.J. Liddell,CHI,6,6,17,2,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0
Emanuel Miller,CHI,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahmir Young,CHI,4,4,18,4,1,1,100,2,2,100,4,100,2,50,1,25,0,0,1,25
Jalen Smith,CHI,28,28,411,21,6,13,46.2,4,4,100,17,81,5,23.8,1,4.8,0,0,2,9.5
Jevon Carter,CHI,13,13,82,14,6,6,100,2,2,100,14,100,6,42.9,0,0,1,7.1,1,7.1
Josh Giddey,CHI,33,33,1041,373,71,130,54.6,44,58,75.9,190,50.9,179,48,52,13.9,24,6.4,29,7.8
Julian Phillips,CHI,37,37,540,30,2,11,18.2,3,4,75,7,23.3,15,50,5,16.7,2,6.7,2,6.7
Kevin Huerter,CHI,39,39,1014,118,34,56,60.7,10,14,71.4,80,67.8,48,40.7,14,11.9,6,5.1,7,5.9
Lonzo Ball,CHI,16,16,356,41,7,12,58.3,0,0,0,14,34.1,22,53.7,7,17.1,5,12.2,0,0
Matas Buzelis,CHI,39,39,749,104,26,51,51,24,30,80,76,73.1,25,24,6,5.8,10,9.6,15,14.4
Nikola Vučević,CHI,34,34,1063,127,32,57,56.1,10,14,71.4,76,59.8,51,40.2,7,5.5,6,4.7,7,5.5
Patrick Williams,CHI,31,31,792,139,25,60,41.7,15,21,71.4,65,46.8,59,42.4,12,8.6,5,3.6,11,7.9
Talen Horton-Tucker,CHI,26,26,341,129,26,46,56.5,21,29,72.4,74,57.4,56,43.4,16,12.4,10,7.8,15,11.6
Tre Jones,CHI,21,21,457,161,27,58,46.6,17,18,94.4,73,45.3,88,54.7,21,13,2,1.2,9,5.6
Zach Collins,CHI,34,34,519,14,4,8,50,0,0,0,8,57.1,4,28.6,0,0,2,14.3,0,0
Chuma Okeke,CLE,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Porter Jr.,CLE,40,40,363,82,13,29,44.8,6,8,75,32,39,40,48.8,13,15.9,9,11,4,4.9
Darius Garland,CLE,60,60,1815,845,179,335,53.4,78,82,95.1,448,53,383,45.3,126,14.9,59,7,41,4.9
De'Andre Hunter,CLE,38,38,1006,161,45,91,49.5,38,42,90.5,132,82,36,22.4,9,5.6,10,6.2,21,13
